key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-auditor-01,true,"UserIdentity{name: 'Jorge', surname: 'Salvaje', email: 'jordi.wild@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Gary', surname: 'Llaneza', email: 'ibo.llanos@acme.com'}",auditor2,auditor2
user-account-manager-01,true,"UserIdentity{name: 'Elena', surname: 'Manager', email: 'ele@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Gabriel', surname: 'su gnoma', email: 'gabri@acme.com'}",manager2,manager2
user-account-client-01,true,"UserIdentity{name: 'Alvaro', surname: 'Client', email: 'alvcli@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'Marta', surname: 'Sevilla', email: 'martsev@acme.com'}",client2,client2
user-account-developer-01,true,"UserIdentity{name: 'Jesús', surname: 'Martín', email: 'jesmarver@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Paco', surname: 'Candela', email: 'pacandela@acme.com'}",developer2,developer2
"",,,,
